Wall time,Step,Value
1620069786.9659681,0,0.28278860449790955
1620075270.7326798,10,0.5083503127098083
1620080769.778553,20,0.6541711688041687
1620086262.1604133,30,0.6279803514480591
1620091741.8712127,40,0.6799681186676025
1620097209.0296834,50,0.6681018471717834
1620102714.6484404,60,0.6805841326713562
1620108203.3905573,70,0.6911324262619019
1620113686.4236035,80,0.6813027858734131
1620118938.0637636,90,0.6854129433631897
1620124141.7257423,100,0.6984590291976929
1620131106.4302828,110,0.6969490647315979
1620138094.3842816,120,0.7079995274543762
1620144744.0887494,130,0.6994545459747314
1620151311.3511224,140,0.7020706534385681
