Wall time,Step,Value
1620069853.258323,0,0.2789771556854248
1620075403.162953,10,0.5204963088035583
1620080928.6661534,20,0.6686487197875977
1620086460.0917668,30,0.6730810403823853
1620091979.4601882,40,0.6724984049797058
1620097507.2459707,50,0.6706618070602417
1620103035.3512635,60,0.659092903137207
1620108549.8675437,70,0.6722570657730103
1620114067.2947161,80,0.664775550365448
1620119384.7640011,90,0.6805092692375183
1620124835.3788805,100,0.6852208971977234
1620131605.5300395,110,0.6709381341934204
1620138404.171245,120,0.6737201809883118
1620144868.1827111,130,0.675059974193573
1620151317.6908085,140,0.6791739463806152
